trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
0,75.223877,75.223877,75.223877,0.610868,0.0,5,0.0,0.0,0.0,0.73862,0.0,3.0
27,77.270798,77.014931,78.805977,1.376547,1.517377,10,0.0,0.0,0.0,1.133993,1.327697,8.0
46,79.57357,78.294243,80.852882,1.60672,1.327703,10,0.0,0.511734,0.0,1.401422,0.948354,8.0
56,80.852882,79.82943,81.620476,1.674771,1.707045,10,0.0,0.0,0.0,1.585748,0.94836,8.0
64,82.388062,81.108749,82.388062,1.752244,1.70704,10,0.0,0.511726,0.0,1.734002,1.138028,8.0
71,83.155655,82.388062,83.923241,1.642538,1.327703,10,0.0,0.511726,0.0,1.641177,1.138028,8.0
77,83.667381,83.411514,85.202568,1.630761,1.327708,10,0.0,0.255867,0.0,1.734003,1.707051,8.0
84,85.202568,84.434975,86.226021,1.52472,1.327703,10,0.0,0.767593,0.0,1.669425,1.896719,8.0
90,85.970154,85.202568,87.249474,1.545804,1.707045,10,0.0,1.023453,0.0,1.710583,2.465731,8.0
97,87.249474,86.226021,88.272926,1.464616,1.517371,10,0.0,1.27932,0.0,1.599326,2.465731,8.0
104,88.272926,86.73774,88.784645,1.377603,1.707034,10,0.0,1.535187,0.0,1.430729,1.517365,8.0
110,89.040512,87.505341,89.040512,1.370191,0.94836,10,0.0,1.535172,0.0,1.359074,0.94836,8.0
116,89.040512,88.272926,89.552246,1.340133,0.94836,10,0.0,0.767586,0.0,1.345242,0.758691,8.0
123,89.296379,89.040512,89.552246,1.213368,0.758691,10,0.0,0.255867,0.0,1.143747,0.758691,8.0
131,89.552246,89.296379,89.808098,1.20162,0.569023,10,0.0,0.255867,0.0,1.183923,0.569023,8.0
137,89.552246,89.296379,90.063972,1.134359,0.569017,10,0.0,0.255867,0.0,1.135538,0.569011,8.0
143,89.552246,89.552246,90.063972,1.03371,0.569011,10,0.0,0.0,0.0,1.048283,0.569011,8.0
149,89.808098,89.552246,90.063972,0.924891,0.37936,10,0.0,0.255852,0.0,0.917445,0.569006,8.0
156,89.808098,89.552246,90.063972,0.881813,0.569017,10,0.0,0.0,0.0,0.829094,0.379348,8.0
162,89.808098,89.552246,90.063972,0.865158,0.569017,10,0.0,0.0,0.0,0.806217,0.569017,8.0
